YEAR,MONTH,PROV_ID,PROV_T,MinRain,MaxRain,AvgRain
2018,4,20,ชลบุรี,174.8699951,246.4299927,210.6499939
2018,4,21,ระยอง,134.5800018,212.4700012,173.5250015
2018,4,22,จันทบุรี,195.4100037,264.8900146,230.1500092
2018,4,23,ตราด,219.4600067,240.9799957,230.2200012
2018,4,24,ฉะเชิงเทรา,179.5,280.8200073,230.1600037
2018,4,25,ปราจีนบุรี,149.7299957,340.2099915,244.9699936
2018,4,26,นครนายก,126.1699982,207.4299927,166.7999955
2018,4,27,สระแก้ว,101.7300034,285.6700134,193.7000084
2018,4,30,นครราชสีมา,72.15000153,246.2899933,159.2199974
2018,4,31,บุรีรัมย์,64.48000336,172.5500031,118.5150032
2018,4,32,สุรินทร์,49.15999985,86.97000122,68.06500054
2018,4,33,ศรีสะเกษ,44.5,82.55000305,63.52500153
2018,4,34,อุบลราชธานี,51.40000153,98.73999786,75.0699997
2018,4,35,ยโสธร,55.04000092,98.02999878,76.53499985
2018,4,36,ชัยภูมิ,75.41000366,241.7100067,158.5600052
2018,4,37,อำนาจเจริญ,53.50999832,76.58000183,65.04500008
2018,4,38,บึงกาฬ,103.4499969,149.6399994,126.5449982
2018,4,39,หนองบัวลำภู,135.1399994,177.3600006,156.25
2018,4,40,ขอนแก่น,106.1999969,206.1199951,156.159996
2018,4,41,อุดรธานี,94.98999786,183,138.9949989
2018,4,42,เลย,102.1299973,156.2299957,129.1799965
2018,4,43,หนองคาย,143.6199951,171.6499939,157.6349945
2018,4,44,มหาสารคาม,68.70999908,188.7799988,128.7449989
2018,4,45,ร้อยเอ็ด,60.16999817,115.4100037,87.79000094
2018,4,46,กาฬสินธุ์,73.05999756,166.9199982,119.9899979
2018,4,47,สกลนคร,52.22000122,155.1600037,103.6900025
2018,4,48,นครพนม,62.49000168,142.0800018,102.2850017
2018,4,49,มุกดาหาร,38.00999832,77.37999725,57.69499779
2018,4,50,เชียงใหม่,33.24000168,165.2700043,99.25500299
2018,4,51,ลำพูน,41.54999924,132.9299927,87.23999597
2018,4,52,ลำปาง,41.09000015,192.1900024,116.6400013
2018,4,53,อุตรดิตถ์,38.16999817,170.7299957,104.4499969
2018,4,54,แพร่,97.80000305,211.3899994,154.5950012
2018,4,55,น่าน,82.69999695,178.8600006,130.7799988
2018,4,56,พะเยา,126.6399994,200.5899963,163.6149979
2018,4,57,เชียงราย,120.2900009,195.3800049,157.8350029
2018,4,58,แม่ฮ่องสอน,23.29999924,99.34999847,61.32499886
2018,4,60,นครสวรรค์,67.70999908,157.4700012,112.5900001
2018,4,61,อุทัยธานี,87.08000183,135.8099976,111.4449997
2018,4,62,กำแพงเพชร,39.36999893,119.2600021,79.31500052
2018,4,63,ตาก,17.20999908,128.2200012,72.71500014
2018,4,64,สุโขทัย,22,122.7300034,72.3650017
2018,4,65,พิษณุโลก,35.54000092,142.1600037,88.85000231
2018,4,66,พิจิตร,90.54000092,155.6799927,123.1099968
2018,4,67,เพชรบูรณ์,80.81999969,286.9299927,183.8749962
2018,4,70,ราชบุรี,44.61000061,146.6499939,95.62999726
2018,4,71,กาญจนบุรี,51.09999847,167.3899994,109.2449989
